YEAR_COURSE,PROV_NAME,SBJ_NAME, STUDENT_CNT ,AVG_SCORE,SD_SCORE,MED_SCORE,MOD_SCORE,MIN_SCORE,MAX_SCORE
2561,?????????????,???????," 64,553 ",60.40,16.91,62.00,68.00,8.00,100.00
2561,?????????????,??????????," 64,502 ",36.51,17.82,30.00,28.00,4.00,100.00
2561,?????????????,??????????," 64,525 ",36.82,21.14,32.00,24.00,0.00,100.00
2561,?????????????,???????????," 64,458 ",39.31,13.18,38.00,34.00,0.00,100.00
2561,???????????,???????," 13,365 ",56.66,15.96,57.00,58.00,6.00,97.00
2561,???????????,??????????," 13,351 ",31.16,12.76,28.00,28.00,4.00,100.00
2561,???????????,??????????," 13,359 ",30.74,15.78,28.00,24.00,0.00,100.00
2561,???????????,???????????," 13,351 ",36.37,10.78,36.00,34.00,8.00,92.00
2561,???????,???????," 11,559 ",58.27,16.28,60.00,62.00,10.00,97.00
2561,???????,??????????," 11,560 ",33.18,14.37,30.00,26.00,6.00,98.00
2561,???????,??????????," 11,561 ",32.96,17.25,28.00,24.00,0.00,100.00
2561,???????,???????????," 11,552 ",37.35,11.28,36.00,34.00,8.00,96.00
2561,????????,???????," 11,516 ",55.80,16.31,56.00,58.00,9.00,100.00
2561,????????,??????????," 11,506 ",31.00,12.71,28.00,26.00,6.00,100.00
2561,????????,??????????," 11,516 ",31.62,17.32,28.00,24.00,0.00,100.00
2561,????????,???????????," 11,505 ",36.57,11.41,34.00,34.00,8.00,96.00
2561,???????????????,???????," 8,498 ",52.61,15.60,52.00,56.00,12.00,97.00
2561,???????????????,??????????," 8,491 ",28.44,10.36,26.00,26.00,6.00,96.00
2561,???????????????,??????????," 8,496 ",28.87,15.20,24.00,24.00,0.00,100.00
2561,???????????????,???????????," 8,492 ",34.54,10.30,34.00,32.00,8.00,96.00
2561,???????,???????," 3,051 ",53.18,15.60,53.00,50.00,14.00,96.00
2561,???????,??????????," 3,046 ",27.88,8.99,26.00,26.00,6.00,96.00
2561,???????,??????????," 3,050 ",28.38,14.33,24.00,24.00,0.00,100.00
2561,???????,???????????," 3,046 ",35.11,10.25,34.00,30.00,10.00,90.00
2561,??????,???????," 7,737 ",54.32,15.86,54.00,56.00,8.00,97.00
2561,??????,??????????," 7,735 ",28.96,10.57,28.00,26.00,4.00,98.00
2561,??????,??????????," 7,737 ",29.59,15.81,28.00,24.00,0.00,100.00
2561,??????,???????????," 7,735 ",35.38,10.87,34.00,34.00,0.00,94.00
2561,?????????,???????," 2,124 ",53.50,15.57,54.00,49.00,10.00,94.00
2561,?????????,??????????," 2,121 ",27.71,8.49,26.00,26.00,8.00,92.00
2561,?????????,??????????," 2,124 ",28.33,14.17,24.00,24.00,0.00,100.00
2561,?????????,???????????," 2,121 ",35.22,10.02,34.00,36.00,8.00,88.00
2561,??????,???????," 2,678 ",51.70,15.21,51.00,40.00,16.00,95.00
2561,??????,??????????," 2,669 ",27.71,8.32,26.00,26.00,8.00,82.00
2561,??????,??????????," 2,678 ",27.63,13.60,24.00,24.00,0.00,100.00
2561,??????,???????????," 2,672 ",34.43,9.73,34.00,32.00,10.00,90.00
2561,???????,???????," 6,277 ",52.60,15.77,52.00,49.00,9.00,96.00
2561,???????,??????????," 6,269 ",28.25,9.61,26.00,26.00,6.00,94.00
2561,???????,??????????," 6,273 ",28.21,13.64,24.00,24.00,0.00,100.00
2561,???????,???????????," 6,268 ",34.61,10.04,34.00,34.00,8.00,88.00
2561,??????,???????," 18,663 ",57.30,15.64,58.00,64.00,12.00,99.00
2561,??????,??????????," 18,670 ",31.36,13.00,28.00,26.00,6.00,100.00
2561,??????,??????????," 18,659 ",31.77,16.92,28.00,24.00,0.00,100.00
2561,??????,???????????," 18,660 ",37.32,11.15,36.00,32.00,4.00,96.00
2561,?????,???????," 8,701 ",56.87,15.46,57.00,60.00,10.00,98.00
2561,?????,??????????," 8,700 ",30.92,12.57,28.00,26.00,4.00,98.00
2561,?????,??????????," 8,700 ",31.62,16.41,28.00,24.00,0.00,100.00
2561,?????,???????????," 8,698 ",37.28,11.36,36.00,36.00,6.00,100.00
2561,????????,???????," 5,389 ",57.19,15.63,58.00,60.00,16.00,97.00
2561,????????,??????????," 5,384 ",29.94,11.77,28.00,26.00,6.00,96.00
2561,????????,??????????," 5,389 ",32.40,16.68,28.00,24.00,0.00,100.00
2561,????????,???????????," 5,382 ",37.18,10.85,36.00,36.00,10.00,96.00
2561,????,???????," 2,261 ",55.73,15.34,56.00,63.00,15.00,94.00
2561,????,??????????," 2,262 ",28.89,10.05,28.00,28.00,8.00,92.00
2561,????,??????????," 2,261 ",30.68,13.89,28.00,28.00,4.00,100.00
2561,????,???????????," 2,261 ",36.14,10.23,36.00,32.00,8.00,80.00
2561,??????????,???????," 7,523 ",53.39,15.61,53.00,44.00,12.00,96.00
2561,??????????,??????????," 7,518 ",28.43,9.92,28.00,24.00,8.00,98.00
2561,??????????,??????????," 7,523 ",28.54,14.28,24.00,24.00,0.00,100.00
2561,??????????,???????????," 7,518 ",35.16,10.43,34.00,32.00,8.00,92.00
2561,??????????,???????," 5,214 ",53.15,15.11,53.00,46.00,12.00,96.00
2561,??????????,??????????," 5,212 ",28.10,9.53,26.00,28.00,4.00,96.00
2561,??????????,??????????," 5,214 ",27.96,13.63,24.00,24.00,0.00,100.00
2561,??????????,???????????," 5,210 ",34.83,10.03,34.00,32.00,6.00,84.00
2561,???????,???????," 2,591 ",52.99,16.18,53.00,39.00,14.00,93.00
2561,???????,??????????," 2,588 ",28.58,9.84,28.00,24.00,8.00,88.00
2561,???????,??????????," 2,590 ",28.94,14.42,28.00,24.00,0.00,100.00
2561,???????,???????????," 2,589 ",35.10,10.25,34.00,36.00,4.00,82.00
2561,???????,???????," 5,500 ",51.46,14.84,51.00,51.00,12.00,96.00
2561,???????,??????????," 5,498 ",26.99,8.05,26.00,26.00,6.00,96.00
2561,???????,??????????," 5,500 ",26.95,11.84,24.00,24.00,0.00,100.00
2561,???????,???????????," 5,495 ",34.25,9.38,34.00,32.00,8.00,76.00
2561,??????????,???????," 25,032 ",52.79,15.34,52.00,46.00,12.00,99.00
2561,??????????,??????????," 25,025 ",28.17,9.93,26.00,24.00,2.00,98.00
2561,??????????,??????????," 25,026 ",28.90,14.56,28.00,24.00,0.00,100.00
2561,??????????,???????????," 25,021 ",35.17,10.48,34.00,34.00,8.00,100.00
2561,?????????,???????," 15,113 ",52.89,15.13,52.00,55.00,8.00,99.00
2561,?????????,??????????," 15,106 ",27.40,8.40,26.00,26.00,4.00,96.00
2561,?????????,??????????," 15,115 ",27.95,13.47,24.00,24.00,0.00,100.00
2561,?????????,???????????," 15,103 ",35.57,10.21,34.00,32.00,6.00,94.00
2561,????????,???????," 12,409 ",53.70,15.01,53.00,52.00,11.00,95.00
2561,????????,??????????," 12,403 ",27.46,8.65,26.00,26.00,6.00,96.00
2561,????????,??????????," 12,406 ",28.59,13.80,28.00,24.00,0.00,100.00
2561,????????,???????????," 12,400 ",35.97,10.08,34.00,32.00,8.00,86.00
2561,????????,???????," 12,479 ",52.02,14.92,52.00,51.00,11.00,95.00
2561,????????,??????????," 12,476 ",27.02,7.96,26.00,26.00,2.00,96.00
2561,????????,??????????," 12,480 ",26.53,12.28,24.00,24.00,0.00,100.00
2561,????????,???????????," 12,474 ",34.78,9.92,34.00,32.00,4.00,90.00
2561,???????????,???????," 19,065 ",50.64,15.41,50.00,46.00,9.00,97.00
2561,???????????,??????????," 19,047 ",27.36,9.07,26.00,26.00,6.00,98.00
2561,???????????,??????????," 19,066 ",26.89,13.51,24.00,24.00,0.00,100.00
2561,???????????,???????????," 19,049 ",34.10,10.12,34.00,30.00,8.00,98.00
2561,?????,???????," 4,909 ",51.62,14.63,51.00,44.00,13.00,91.00
2561,?????,??????????," 4,906 ",27.14,8.09,26.00,24.00,6.00,88.00
2561,?????,??????????," 4,909 ",27.12,12.27,24.00,24.00,0.00,100.00
2561,?????,???????????," 4,908 ",34.69,9.59,34.00,30.00,8.00,80.00
2561,???????,???????," 9,589 ",50.83,15.01,50.00,41.00,12.00,97.00
2561,???????,??????????," 9,579 ",27.10,8.23,26.00,26.00,4.00,96.00
2561,???????,??????????," 9,586 ",27.10,12.57,24.00,24.00,0.00,100.00
2561,???????,???????????," 9,579 ",34.38,9.93,34.00,32.00,6.00,96.00
2561,??????????,???????," 3,587 ",51.91,15.69,51.00,53.00,12.00,94.00
2561,??????????,??????????," 3,579 ",26.82,7.26,26.00,24.00,6.00,72.00
2561,??????????,??????????," 3,588 ",27.44,13.22,24.00,20.00,4.00,100.00
2561,??????????,???????????," 3,578 ",34.86,9.97,34.00,32.00,8.00,80.00
2561,??????,???????," 3,981 ",51.62,14.70,51.00,52.00,11.00,96.00
2561,??????,??????????," 3,980 ",26.59,7.25,26.00,24.00,4.00,74.00
2561,??????,??????????," 3,983 ",26.24,11.23,24.00,24.00,0.00,96.00
2561,??????,???????????," 3,981 ",34.83,9.59,34.00,30.00,6.00,72.00
2561,???????????,???????," 4,262 ",50.69,14.31,51.00,49.00,12.00,91.00
2561,???????????,??????????," 4,250 ",26.44,7.10,26.00,26.00,8.00,76.00
2561,???????????,??????????," 4,261 ",26.00,10.58,24.00,24.00,0.00,92.00
2561,???????????,???????????," 4,254 ",34.37,9.18,34.00,32.00,8.00,78.00
2561,???????,???????," 16,722 ",53.06,15.70,53.00,54.00,9.00,99.00
